PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,MONTH
3150,0,0,OO,SkyWest Airlines Inc.,11884,31884,GEG,"Spokane, WA",WA,12892,32575,LAX,"Los Angeles, CA",CA,2024,8
3150,0,0,UA,United Air Lines Inc.,14986,34986,SRQ,"Sarasota/Bradenton, FL",FL,12264,30852,IAD,"Washington, DC",VA,2024,1
3150,222,0,UA,United Air Lines Inc.,15376,30436,TUS,"Tucson, AZ",AZ,11292,30325,DEN,"Denver, CO",CO,2024,8
3150,475,0,MQ,Envoy Air,11423,31423,DSM,"Des Moines, IA",IA,13930,30977,ORD,"Chicago, IL",IL,2024,6
3150,1537,0,WN,Southwest Airlines Co.,13244,33244,MEM,"Memphis, TN",TN,11292,30325,DEN,"Denver, CO",CO,2024,11
3151,0,0,DL,Delta Air Lines Inc.,10423,30423,AUS,"Austin, TX",TX,10721,30721,BOS,"Boston, MA",MA,2024,2
3151,0,0,MQ,Envoy Air,11775,31775,FSD,"Sioux Falls, SD",SD,13930,30977,ORD,"Chicago, IL",IL,2024,2
3151,37,0,MQ,Envoy Air,15016,31123,STL,"St. Louis, MO",MO,13930,30977,ORD,"Chicago, IL",IL,2024,11
3152,0,0,9E,Endeavor Air Inc.,10785,30785,BTV,"Burlington, VT",VT,12478,31703,JFK,"New York, NY",NY,2024,7
3152,0,0,NK,Spirit Air Lines,13931,33667,ORF,"Norfolk, VA",VA,10721,30721,BOS,"Boston, MA",MA,2024,7
3153,0,0,C5,CommuteAir LLC dba CommuteAir,12951,32951,LFT,"Lafayette, LA",LA,12266,31453,IAH,"Houston, TX",TX,2024,11
3154,0,0,9E,Endeavor Air Inc.,10581,30581,BGR,"Bangor, ME",ME,12953,31703,LGA,"New York, NY",NY,2024,1
3154,0,0,C5,CommuteAir LLC dba CommuteAir,10781,30781,BTR,"Baton Rouge, LA",LA,12266,31453,IAH,"Houston, TX",TX,2024,12
3154,0,0,OO,SkyWest Airlines Inc.,13230,32070,MDT,"Harrisburg, PA",PA,13930,30977,ORD,"Chicago, IL",IL,2024,6
